contig_10980	CONCOCT.82
contig_10981	CONCOCT.51
contig_10982	CONCOCT.58
contig_10983	CONCOCT.65
contig_10984	CONCOCT.70
contig_10985	CONCOCT.41
contig_10986	CONCOCT.50
contig_10987	CONCOCT.62
contig_10988	CONCOCT.41
contig_10989	CONCOCT.41
contig_1099	CONCOCT.64
contig_10990	CONCOCT.18
contig_10991	CONCOCT.18
contig_10992	CONCOCT.27
contig_10993	CONCOCT.41
contig_10994	CONCOCT.41
contig_10995	CONCOCT.37
contig_10997	CONCOCT.64
contig_10998	CONCOCT.8
contig_10999	CONCOCT.8
contig_11001	CONCOCT.62
contig_11003	CONCOCT.52
contig_11004	CONCOCT.76
contig_11006	CONCOCT.4
contig_11007	CONCOCT.82
contig_11008	CONCOCT.2
contig_1101	CONCOCT.18
contig_11011	CONCOCT.76
contig_11013	CONCOCT.58
contig_11014	CONCOCT.18
contig_11015	CONCOCT.18
contig_11016	CONCOCT.27
contig_11017	CONCOCT.11
contig_11018	CONCOCT.18
contig_11019	CONCOCT.62
contig_1102	CONCOCT.69
contig_11020	CONCOCT.16
contig_11021	CONCOCT.18
contig_11022	CONCOCT.29
contig_11023	CONCOCT.76
contig_11025	CONCOCT.76
contig_11026	CONCOCT.41
contig_11027	CONCOCT.69
contig_11028	CONCOCT.7
contig_11029	CONCOCT.58
contig_1103	CONCOCT.9
contig_11030	CONCOCT.18
contig_11031	CONCOCT.51
contig_11032	CONCOCT.48
contig_11033	CONCOCT.61
contig_11034	CONCOCT.49
contig_11035	CONCOCT.57
contig_11036	CONCOCT.27
contig_11037	CONCOCT.9
contig_11038	CONCOCT.47
contig_11039	CONCOCT.60
contig_1104	CONCOCT.76
contig_11040	CONCOCT.64
contig_11041	CONCOCT.58
contig_11043	CONCOCT.58
contig_11044	CONCOCT.37
contig_11045	CONCOCT.69
contig_11046	CONCOCT.30
contig_11047	CONCOCT.25
contig_11048	CONCOCT.50
contig_11049	CONCOCT.64
contig_1105	CONCOCT.61
contig_11050	CONCOCT.70
contig_11052	CONCOCT.62
contig_11053	CONCOCT.69
contig_11054	CONCOCT.26
